RevenuePerDay,NCustomersPerDay,AverageOrderValue,WorkingHoursPerDay,NEmployees,MarketingSpendPerDay,LocationFootTraffic
1547.81,152,6.74,14,4,106.62,97
2084.68,485,4.5,12,8,57.83,744
3118.39,398,9.09,6,6,91.76,636
2912.2,320,8.48,17,4,462.63,770
1663.42,156,7.44,17,2,412.52,232
1155.18,121,8.88,6,9,183.49,484
2179.13,238,9,11,4,331.35,156
890.17,70,7.81,10,3,273.27,237
1704.94,152,8.78,14,2,341.79,825
2025.55,171,7.73,7,5,344.51,135
2099.66,264,7.6,13,14,318.08,885
2568.92,380,7.14,16,9,140.39,892
1367.08,137,8.15,10,14,29.11,505
1817.02,422,3.69,7,4,233.23,186
1707.13,149,9.11,15,2,446.58,907
3618.25,409,9.04,16,5,289.05,947
876.02,201,2.72,16,10,417.87,385
2167.08,180,8.69,17,14,495.9,656
962.96,199,3.47,11,2,90.17,887
2463.86,358,5.01,15,13,348.97,806
2445.85,307,8.08,13,12,340.4,518
2221.32,393,3.71,9,3,490.18,651
4368.39,463,8.63,7,10,492.94,620
3165.36,343,8.74,17,3,346.47,452
2580.95,435,6.31,16,14,129.37,589
770.84,241,2.55,10,4,401.29,121
2284.46,493,4.65,17,8,62.44,831
2416.98,326,7.13,7,4,392.54,73
2397.9,210,9.86,7,10,456,673
2745.29,363,7.24,11,7,197.59,861
399.54,71,4.45,16,4,319.01,534
2040.26,302,7.26,15,10,220.77,105
2260.56,285,6.55,14,2,224.5,272
3228.44,394,8.35,9,11,162.08,681
733.78,98,3.3,11,4,383.44,228
1526.31,108,8.21,12,2,468.73,849
2133.33,219,6.56,16,3,470.97,483
2441.69,237,9.72,11,13,95.64,986
1892.72,320,5.06,13,9,438.62,499
1909.37,239,7.24,9,8,371.34,842
4550.3,495,9.49,17,3,133.89,933
851.77,224,3.27,6,3,42.97,541
4188.8,495,9.53,12,10,141.32,238
1177.41,100,7.66,8,14,456.98,627
1560.46,413,3.01,11,14,320.26,859
995.23,104,4.76,7,7,363.32,469
2273.88,293,7.81,14,6,136,298
1271.51,369,3.01,6,11,362.5,637
1156.98,180,6.87,11,7,23.78,698
1778.23,356,5.09,11,10,193.91,213
1428.1,184,7.16,10,12,317.11,794
299.11,70,2.84,10,8,81.59,304
3672.71,378,9.04,6,11,413.27,525
2253.21,216,9.8,15,11,125.17,855
3162.38,323,9.77,17,10,329.62,466
3553.46,437,8.12,10,5,208.55,219
571.57,138,3.48,7,3,302.06,366
2729.42,365,8.19,12,13,62.65,223
272.13,63,2.68,8,9,18.29,519
1492.41,291,2.67,9,5,455.69,394
1717.36,314,4.93,8,14,142.12,494
2968.22,395,6.16,8,10,411.64,67
1420.47,102,8.28,9,5,499.68,119
3252.78,435,7.62,10,9,113.6,387
2628.23,389,5.84,6,10,139.93,677
986.17,141,4.55,9,14,334.8,641
4737.16,416,9.98,17,10,483.07,576
3392.51,493,5.7,17,11,458.75,737
2859.93,477,5.89,16,5,256.41,505
1613.57,313,3.73,13,2,399.6,318
3793.18,480,8.46,15,4,76.52,680
1479.56,84,7.7,12,10,488.94,860
1759.04,255,4.16,14,5,482.53,237
405.39,130,3.12,10,6,90.23,618
3026.63,469,7.6,15,8,156.72,760
883.29,99,7.41,9,6,59.08,578
1503.07,409,4.55,13,5,143.14,483
4129.01,437,9.63,14,3,409.82,337
379.18,51,3.63,12,3,195.37,967
2105.02,439,5.74,12,14,53.31,616
1218.11,103,9.58,10,14,177.69,548
1465.26,155,5.65,9,5,490.88,490
2662.21,309,7.29,15,11,318.54,830
1769.92,359,5.48,6,14,213.92,352
989.98,240,4.56,15,11,91.6,136
4750.98,451,9.88,15,14,493.23,879
1965.35,267,5.57,12,10,412.22,487
1131.56,93,9.21,6,9,147.92,590
684.96,211,4.22,6,4,44.33,71
889.21,251,4.1,10,10,37.75,882
1421.17,495,2.73,14,6,68.99,846
2123.83,319,7.39,11,12,294.58,609
2668.22,400,5.26,8,4,465.09,566
3385.84,353,8.98,8,6,253.4,811
2110.23,320,6.05,12,14,423.04,724
2598.69,264,9.76,11,11,228.48,552
1888.15,301,3.89,14,14,357.21,763
2622.95,239,9.01,11,5,368.62,516
2815.61,345,8.32,10,9,95.24,150
2431.12,262,8.28,15,14,187,632
2889.02,257,8.84,12,13,322.28,991
2183.92,286,8.21,6,6,44.64,724
2707.05,387,7.2,17,11,187.15,734
1908.69,416,3.48,12,13,272.05,190
961.27,102,2.74,8,9,498.15,187
2964.48,329,9.41,14,10,242.52,627
3448.06,459,7.12,11,5,409.87,759
2422.75,266,8.47,14,8,221.71,889
2165.62,301,6.11,10,3,400.23,277
1098.58,237,3.38,12,7,301.75,330
1789.37,429,3.44,9,9,444.43,733
1222.95,90,7.64,12,13,211.36,877
1452.98,206,5.73,6,8,306.11,480
566.16,64,4,12,8,318.71,89
2150.61,350,6.19,13,9,214.52,568
587.32,114,2.98,10,8,80.71,735
2630.96,394,6.86,7,6,55.84,712
1456.45,376,4.52,10,8,18.17,260
1106.16,58,8.48,11,14,438.03,351
1952.52,393,4.83,17,11,125.87,135
976.43,178,5.91,7,4,113.64,446
679.1,185,2.59,11,6,370.66,302
659.65,112,3.04,11,8,166.81,582
1177.64,188,5.44,6,10,257.96,818
936.21,130,6.1,6,3,89.63,940
3562.93,441,7,16,5,480.28,964
1546.92,212,4.69,15,13,427.27,430
3812.12,468,7.71,8,8,433.26,493
2909.78,338,8.95,15,2,209.32,82
3564.08,428,8.35,15,14,383.56,309
779,310,2.8,17,3,80.5,283
1672.29,280,6.1,8,10,14.22,564
575.74,90,3.29,9,14,19.79,908
995.74,77,4.32,7,11,297.43,357
2018.23,184,9.9,14,8,233.14,788
1478.45,250,3.57,15,13,263.83,845
2076.36,377,6.24,17,11,13.66,119
2104.51,317,7.14,16,8,217.12,503
4192.68,467,7.77,12,7,361.85,488
941.4,82,6.7,12,4,226.92,874
470.62,97,2.57,11,11,368.79,413
2529.56,456,4.95,8,4,124.18,815
1101.34,111,6.38,11,3,408.44,530
1095.98,265,3.16,17,12,298.33,193
1953.2,342,5.13,13,7,113.27,73
827.63,148,2.75,13,5,125.99,474
891.05,221,3.09,16,6,317.73,795
2936.39,409,5.48,14,4,416.67,894
1323.79,263,3.5,6,7,213.66,224
555.96,84,6.76,6,12,136.57,893
4040.77,498,7.67,8,13,434.84,374
2921.54,276,8.5,8,4,337.94,918
572.23,150,4,15,9,229.56,720
